City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,olinda,90,EC,1547611200,83,-2.03,-79.75,78.8,2.24
1,alta floresta,56,BR,1547613569,97,-9.87,-56.08,72.72,1.95
2,port lincoln,92,AU,1547613374,75,-34.72,135.86,73.17,14.14
3,ossora,0,RU,1547613830,100,59.24,163.07,-17.28,9.44
4,kapaa,1,US,1547610960,61,22.08,-159.32,77.0,11.41
5,mataura,36,NZ,1547613565,50,-46.19,168.86,75.24,10.33
6,tasiilaq,80,GL,1547610600,55,65.61,-37.64,6.8,3.36
7,hilo,90,US,1547610780,62,19.71,-155.08,73.94,9.44
8,obo,0,CF,1547613831,90,5.39,26.49,69.12,4.63
9,new norfolk,75,AU,1547611200,52,-42.78,147.06,68.0,18.34
10,swan hill,64,AU,1547613831,58,-35.34,143.56,98.82,0.72
11,piacabucu,56,BR,1547613832,92,-10.41,-36.43,73.89,3.74
12,georgetown,75,GY,1547611200,88,6.8,-58.16,77.0,6.93
13,severo-kurilsk,88,RU,1547613506,100,50.68,156.12,29.25,22.08
14,kavieng,24,PG,1547613708,100,-2.57,150.8,82.62,5.75
15,catuday,0,PH,1547613833,82,16.29,119.81,83.79,4.97
16,ushuaia,40,AR,1547611200,80,-54.81,-68.31,39.2,17.22
17,punta arenas,40,CL,1547611200,65,-53.16,-70.91,41.0,20.8
18,touros,75,BR,1547611200,94,-5.2,-35.46,77.0,2.24
19,marathon,12,CA,1547613833,100,48.72,-86.38,8.82,20.85
20,san quintin,0,PH,1547613597,54,17.54,120.52,82.35,5.19
21,cape town,0,ZA,1547611200,82,-33.93,18.42,62.6,4.7
22,yellowknife,20,CA,1547611200,66,62.45,-114.38,-31.01,4.7
23,marawi,80,PH,1547613834,56,8.0,124.29,81.0,3.96
24,lorengau,68,PG,1547613797,99,-2.02,147.27,83.52,11.23
25,sorong,100,ID,1547613834,100,-0.86,131.25,75.51,4.97
26,albany,90,US,1547613000,74,42.65,-73.75,30.02,3.36
27,rikitea,80,PF,1547613563,97,-23.12,-134.97,80.55,14.03
28,busselton,0,AU,1547613596,88,-33.64,115.35,71.46,13.8
29,naron,88,ES,1547611200,76,43.52,-8.15,51.8,3.36
30,hobart,75,AU,1547611200,52,-42.88,147.33,68.0,18.34
31,quievrain,75,BE,1547612400,80,50.41,3.68,42.8,11.41
32,plettenberg bay,36,ZA,1547613835,100,-34.05,23.37,67.41,11.23
33,puerto ayora,48,EC,1547613326,100,-0.74,-90.35,76.05,8.32
34,torbay,90,CA,1547611200,92,47.66,-52.73,28.4,38.03
35,tuktoyaktuk,5,CA,1547611200,75,69.44,-133.03,-18.41,11.41
36,balaipungut,24,ID,1547613836,65,1.11,101.31,90.27,3.51
37,mamallapuram,32,IN,1547611200,83,12.63,80.17,78.8,3.36
38,khatanga,76,RU,1547613567,62,71.98,102.47,-7.92,10.67
39,esperance,20,TT,1547611200,88,10.24,-61.45,75.2,6.31
40,jamestown,68,AU,1547613409,33,-33.21,138.6,99.27,8.99
41,la ronge,5,CA,1547611200,82,55.1,-105.3,-20.21,2.73
42,deputatskiy,0,RU,1547613837,0,69.3,139.9,-55.08,2.51
43,kahului,40,US,1547610960,64,20.89,-156.47,75.92,5.82
44,pergamino,0,AR,1547613837,85,-33.9,-60.57,59.04,2.95
45,bereda,92,ES,1547611200,76,43.27,-7.54,51.8,3.36
46,alpena,90,US,1547613360,88,45.06,-83.43,31.1,14.99
47,chuy,68,UY,1547613567,100,-33.69,-53.46,70.2,15.48
48,tessalit,0,ML,1547613581,32,20.2,1.01,38.25,6.53
49,mount gambier,88,AU,1547611200,57,-37.83,140.78,77.0,11.41
50,port-cartier,40,CA,1547611200,76,50.03,-66.88,-4.01,8.05
51,bredasdorp,64,ZA,1547611200,88,-34.53,20.04,66.2,16.11
52,barrow,0,AR,1547613597,62,-38.31,-60.23,71.82,15.14
53,markova,0,RU,1547613000,77,52.21,104.21,1.4,4.47
